Ticker,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Exchange,CQS Symbol,NASDAQ Symbol
A,"AGILENT TECHNOLOGIES, INC. COMMON STOCK",,N,,100,N,,N,A,A
AA,ALCOA CORPORATION COMMON STOCK,,N,,100,N,,N,AA,AA
AACB,ARTIUS II ACQUISITION INC. - CLASS A ORDINARY SHARES,G,N,N,100,N,N,Q,,
AACBR,ARTIUS II ACQUISITION INC. - RIGHTS,G,N,N,100,N,N,Q,,
AACBU,ARTIUS II ACQUISITION INC. - UNITS,G,N,N,100,N,N,Q,,
AACG,"ATA CREATIVITY GLOBAL - AMERICAN DEPOSITARY SHARES, EACH REPRESENTING TWO COMMON SHARES",S,N,N,100,N,N,Q,,
AACI,ARMADA ACQUISITION CORP. II - CLASS A ORDINARY SHARES,G,N,N,100,N,N,Q,,
AACIU,ARMADA ACQUISITION CORP. II - UNITS,G,N,N,100,N,N,Q,,
AACIW,ARMADA ACQUISITION CORP. II - WARRANT,G,N,N,100,N,N,Q,,
AACT,ARES ACQUISITION CORPORATION II CLASS A ORDINARY SHARES,,N,,100,N,,N,AACT,AACT
AACT.U,"ARES ACQUISITION CORPORATION II UNITS, EACH CONSISTING OF ONE CLASS A ORDINARY SHARE AND ONE-HALF OF ONE REDEEMABLE WARRANT",,N,,100,N,,N,AACT.U,AACT=
AACT.W,"ARES ACQUISITION CORPORATION II REDEEMABLE WARRANTS, EACH WHOLE WARRANT EXERCISABLE FOR ONE CLASS A ORDINARY SHARE AT AN EXERCISE PRICE OF $11.50",,N,,100,N,,N,AACT.WS,AACT+
AAL,"AMERICAN AIRLINES GROUP, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
AAM,AA MISSION ACQUISITION CORP. CLASS A ORDINARY SHARES,,N,,100,N,,N,AAM,AAM
AAM.U,"AA MISSION ACQUISITION CORP. UNITS, EACH CONSISTING OF ONE CLASS A ORDINARY SHARE AND ONE-HALF OF ONE REDEEMABLE WARRANT",,N,,100,N,,N,AAM.U,AAM=
AAM.W,"AA MISSION ACQUISITION CORP. WARRANTS, EACH WHOLE WARRANT ENTITLES THE HOLDER TO PURCHASE ONE CLASS A ORDINARY SHARE AT A PRICE OF $11.50 PER SHARE",,N,,100,N,,N,AAM.WS,AAM+
AAME,ATLANTIC AMERICAN CORPORATION - COMMON STOCK,G,N,N,100,N,N,Q,,
AAMI,ACADIAN ASSET MANAGEMENT INC. COMMON STOCK,,N,,100,N,,N,AAMI,AAMI
AAOI,"APPLIED OPTOELECTRONICS, INC. - COMMON STOCK",G,N,N,100,N,N,Q,,
AAON,"AAON, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
AAP,ADVANCE AUTO PARTS INC.,,N,,100,N,,N,AAP,AAP
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL - AMERICAN DEPOSITORY SHARES,G,N,N,100,N,N,Q,,
AAPL,APPLE INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
AARD,"AARDVARK THERAPEUTICS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
